CRS,Tiploc,Description,Stannox
LGD,LGWOOD,LINGWOOD,48058
BYA,BRNYARM,BERNEY ARMS,48066
,LOWSTFR,LOWESTOFT RECP.,48101
LWT,LOWSTFT,LOWESTOFT,48104
,COKEOVJ,COKE OVENS JN,48105
,LOWSCE,LOWESTOFT ISU (CE),48114
,OULTBNJ,OULTON BROAD NORTH JN,48118
OUN,OULTNBN,OULTON BROAD NORTH,48120
,FLXSBJN,FELIXSTOWE BEACH JUNCTION,48128
SYT,SMRLYTN,SOMERLEYTON,48195
HAD,HADISCO,HADDISCOE,48197
,LOWSL6,LOWESTOFT SIGNAL L6,48198
,LOWSL57,LOWESTOFT SIGNAL L57,48199
REE,RDHAMN,REEDHAM (NORFOLK),48201
,RDHA43,REEDHAM SIGNAL RJ43,48202
CNY,CNTLEY,CANTLEY,48211
BUC,BUCKNHM,BUCKENHAM,48213
BDA,BRUNDAL,BRUNDALL,48215
BGA,BRUNDLG,BRUNDALL GARDENS,48216
XWH,WHTLNGJ,WHITLINGHAM JN,48218
,WNSUMJN,WENSUM JUNCTION,48219
,NRCHGBF,NORWICH GB RAILFREIGHT,48220
XNC,NRCHTMD,NORWICH C.PT. T.&R.S.M.D,48221
,NRCH141,NORWICH CROWN PT SG CP1491,48222
,NRCH149,NORWICH CROWN PT SI CP1498,48222
,NRCHRCP,NORWICH CROWN PT RECEP.,48223
,NRCH494,NORWICH CROWN PT SG CP1494,48225
,NRCHTHP,NORWICH THORPE CE SIDINGS,48228
,NRCHTC,NORWICH T.C.,48230
NRW,NRCH,NORWICH,48231
XNY,NRCHCSD,NORWICH STN C.S.D.,48232
,NRCHTPJ,THORPE JUNCTION,48236
,TROWGBR,TROWSE GBRF,48301
,TROWSE,TROWSE,48302
,TROWFHH,TROWSE (FHH),48303
,TROWSEY,TROWSE YARD REDLAND SIDING,48304
,TROWLKJ,TROWSE LAKENHAM JUNCTION,48305
,TRWSSBJ,TROWSE SWING BRIDGE,48308
,TROWSEJ,TROWSE JN,48309
,TROW749,TROWSE GPL CO1749,48310
,TROW760,TROWSE GPL CO1760,48311
,NRCHVIC,NORWICH VICTORIA,48313
,TIVTSHL,TIVETSHALL,48351
,HETHRST,HETHERSETT,48421
,WYMN35,WYMONDHAM SIGNAL W35,48422
,WYMNFHH,WYMONDHAM FHH,48423
,WYMONDS,WYMONDHAM SIDINGS,48424
WMD,WYMNDHM,WYMONDHAM,48425
,WYMNDLA,WYMONDHAM LANE,48426
,DERMUKF,DEREHAM U.K.F.,48427
,WYMN32,WYMONDHAM SIG W32,48428
SPN,SPONRRW,SPOONER ROW,48429
,DERMGBF,DEREHAM UKF GBRF,48430
,MNRSDGS,MID-NORFOLK RAILWAY SIDING,48431
ATL,ATTLBON,ATTLEBOROUGH,48501
,WYMN877,WYMONDHAM CO877,48502
,WYMN878,WYMONDHAM CO878,48503
,ECLREXC,ECCLES RD EXCHANGE SIDINGS,48510
ECS,ECLR,ECCLES ROAD,48511
,ECLRDJS,ECCLES RD JOHNSTON'S SDG,48512
,ECLRFHH,ECCLES ROAD FHH,48513
HRD,HRLNGRD,HARLING ROAD,48521
,CROXTON,CROXTON AHB,48523
,SWAINTP,SWAINSTHORPE L.C.,48993
,TROWFLR,FLORDON LEVEL XING,48995
,MOULTON,MOULTON,48997
,BUURSTN,BURSTON,48999
DIS,DISS,DISS,49002
,DISSRS,DISS RECP.,49003
,MELLIS,MELLIS,49007
,COWGRNX,COW GREEN CROSSOVER,49009
,HAGHLYJ,HAUGHLEY JN,49011
,STWMDGL,STOWMARKET D.G.L.,49012
SMK,STWMRKT,STOWMARKET,49014
,CLCH138,STOWMARKET SIGNAL COL 1385,49015
NMT,NEEDHAM,NEEDHAM MARKET,49016
,BARH379,BARHAM GROUND SIG C01379,49017
,BARHAM,BARHAM,49018
,BARHFHH,BARHAM FHH,49019
,CLDON,CLAYDON,49024
OUS,OULTNBS,OULTON BROAD SOUTH,49101
BCC,BECCLES,BECCLES,49103
BRP,BRAMPTN,BRAMPTON (SUFFOLK),49105
HAS,HALSWTH,HALESWORTH,49107
,HALSLBD,HALESWORTH STN LIMITS BD,49108
DSM,DARSHAM,DARSHAM,49109
,SIZCEGB,SIZEWELL C.E.G.B.,49112
LIE,LEISTON,LEISTON,49114
,SXMNDHJ,SAXMUNDHAM JN,49117
,SXMNDSG,SAXMUNDHAM TAMPER SIDING,49117
SAX,SXMNDHM,SAXMUNDHAM,49118
WCM,WCKHMMR,WICKHAM MARKET,49119
,SNAPE,SNAPE,49120
MES,MELTON,MELTON,49121
,FLXSNQ2,FELIXSTOWE SIGNAL NQ2,49122
,FLXSNQ4,FELIXSTOWE SIGNAL NQ4,49123
WDB,WODBDGE,WOODBRIDGE,49124
,BELINGS,BEALINGS,49125
,FLXS634,FELIXSTOWE SIGNAL CO634,49126
,FLXSSRP,FLIXSTWE STH DOCKS RP GBRF,49127
,FLXSSRT,FELIXSTOWE SOUTH RT (FL),49128
,FLXSSGB,FELIXSTOWE SOUTH GBRF,49129
,FLXSBCH,FELIXSTOWE BEACH,49131
,FLXSSEW,FELIXSTOWE SOUTH DBC,49132
,FLXSCRS,FELIXSTOWE CREEK R.S,49133
,FLXSNFL,FELIXSTOWE NORTH F.L.T.,49136
,FLXSSFL,FELIXSTOWE SOUTH F.L.T.,49136
FLX,FLXSTOW,FELIXSTOWE,49137
TRM,TRIMLEY,TRIMLEY,49138
,FLXSNGB,FELIXSTOWE NORTH GBRF,49139
,FLXSNEW,FELIXSTOWE NORTH DBC,49140
,ROUTESX,ROUTES L.C. NO.8,49142
DBR,DERBYRD,DERBY ROAD,49145
,FLXSNRP,FLIXSTWE NTH DOCKS RP GBRF,49147
,FLXSOYS,FELIXSTOWE OYSTERBED ROADS,49148
,FLXSCGB,FELIXSTOWE CENTRAL GBRF,49149
,FLXSCDB,FELIXSTOWE CENTRAL DBC,49150
WFI,WSTRFLD,WESTERFIELD,49151
,FLXSCFL,FELIXSTOWE CENTRAL FRTLNER,49152
,DERB017,LEVINGTON SIGNAL FW9017,49153
,DERB018,LEVINGTON SIGNAL FW9018,49154
,TRIM023,LEVINGTON SIGNAL FW9023,49155
,TRIM024,LEVINGTON SIGNAL FW9024,49157
,FLXS074,NORTH QUAY SIGNAL FW9074,49158
,TRIM029,TRIMLEY SIGS FW9029 & 9031,49159
,TRIMGLJ,GUN LANE JUNCTION,49160
,TRIM031,TRIMLEY SIGNAL FW9031,49161
,CLCH822,COLCHESTER SIGNAL 822,49193
,IPSWESJ,IPSWICH EAST SUFFOLK JN,49193
XIP,IPSWCCS,IPSWICH C.S.D.,49199
,IPSWSS,IPSWICH S.S.,49200
,IPSWUDG,IPSWICH DOWN AND UP GOODS,49201
,IPSWCHS,IPSWICH H.S.,49202
XIQ,IPSWRCP,IPSWICH RECP.,49203
,IPSWFDS,IPSWICH YARD,49204
,IPSWYGB,IPSWICH RECEPTION GBRF,49205
,IPSWLRD,IPSWICH LONDON ROAD,49206
,IPSW822,IPSWICH SIGNAL CO.822,49207
,IPSW328,IPSWICH SIGNAL CO.328,49208
,IPSWRFL,IPSWICH RECEPTION RFL,49209
,IPSW326,IPSWICH SIGNAL CO326,49210
IPS,IPSWICH,IPSWICH,49211
,IPSWTFP,IPSWICH TOP YARD F.P.,49211
,IPSWCLY,IPSWICH LOWER YARD,49213
,IPSWCLQ,IPSWICH CLIFFE QUAY,49214
,IPSWFLD,IPSWICH FIELD SIDINGS,49215
,IPSW820,IPSWICH SIGNAL CO820,49216
,IPSW830,IPSWICH SIGNAL CO830,49217
,IPSW832,IPSWICH SIGNAL CO832,49218
,IPSW297,IPSWICH SIGNAL CO297,49219
,IPSWGWF,IPSWICH GRIFFIN WHARF,49221
,IPSW295,IPSWICH SIGNAL CO295,49222
,IPSWHJN,IPSWICH HALIFAX JUNCTION,49223
,IPSWSN1,IPSWICH SHUNT NECK 1,49224
,IPSWBHJ,IPSWICH BOSS HALL JN,49225
,IPSWEPJ,IPSWICH EUROPA JUNCTION,49226
,IPSW351,IPSWICH SIGNAL CO351,49227
,IPSW352,IPSWICH SIGNAL CO352,49228
,IPSW333,IPSWICH SIGNAL CO333,49229
,IPSW335,IPSWICH SIGNAL CO335,49230
,ARDEGH,ARDLEIGH,49295
,CLCH196,COLCHESTER SIGNAL 196,49299
,BNTLEY,BENTLEY (SUFFOLK),49300
,MANNTNJ,MANNINGTREE NORTH JN,49301
MNG,MANNGTR,MANNINGTREE,49302
,MANNGDS,MANNINGTREE DOWN SIDING,49303
,MANNTEJ,MANNINGTREE EAST JN,49304
,CLCH751,COLCHESTER SIGNAL 751,49305
,MISTDL,MISTLEY DOWN LOOP,49311
MIS,MISTLEY,MISTLEY,49313
WRB,WRABNES,WRABNESS,49321
,PRKS012,PARKESTON SIGNAL P12,49396
,PRKSCLH,PARKESTON CARLESS REF HSHT,49397
,PRKSCRV,PARKESTON CARLESS CRV HSHT,49398
,PRKSNFL,PARKESTON NEW YARD FL,49399
XPA,PRKSTNY,PARKESTON S.S.,49400
,PRKSGJN,PARKESTON GOODS JUNCTION,49401
,PRKSCLS,PARKESTON CARLESS EWS,49402
,PRKSTIP,PARKESTON TIP EWS,49403
,PRKSTCT,PARKESTON C.T.,49405
,PRKSTHS,PARKESTON H.S.,49408
,PRKS211,PARKESTON SIG P211,49409
,PRKSTM,PARKESTON MARITIME,49409
HPQ,PRKSTON,HARWICH INTERNATIONAL,49409
,PRKSTSS,PARKESTON QUAY TSC,49411
,PRKSDTS,PARKESTON DN THROUGH SDG.,49412
,PRKSREF,HARWICH REFINERY CRLS SLVS,49413
,PRKSUTP,HARWICH UP TIP SIDINGS GBF,49414
DVC,DOVRCRT,DOVERCOURT,49415
,PRKSUTC,HARWICH UP TIP SDG CRIPPLE,49416
,PRKS021,PARKESTON SIG P21,49417
,PRKS245,PARKESTON SIG P245,49419
,PRKSGBR,PARKESTON SS GBRF,49420
HWC,HARWICH,HARWICH TOWN,49422
,PRKSRPC,HARWICH REPROFILING CENTRE,49423
WON,WONNAZE,WALTON-ON-THE-NAZE,50011
FRI,FRINTON,FRINTON-ON-SEA,50014
KBX,KIRBYX,KIRBY CROSS,50016
,CLACTWR,CLACTON WASH ROAD,50020
CLT,CLACTON,CLACTON-ON-SEA,50021
XLC,CLACTCS,CLACTON C.S.D.,50022
,THPLESS,THORPE-LE-SOKEN SIDING,50023
TLS,THPLESK,THORPE-LE-SOKEN,50024
WEE,WEELEY,WEELEY,50025
GRB,GTBNTLY,GREAT BENTLEY,50026
ALR,ALRESFD,ALRESFORD (ESSEX),50027
WIV,WIVENHO,WIVENHOE,50028
,CLAC180,CLACTON SIGNAL CO1180,50029
HYH,CLCHHYT,HYTHE,50030
,CLACDS,CLACTON DOWN SIDINGS,50031
,CLAC183,CLACTON SIGNAL CO1183,50032
,CLCHHCD,HYTHE C.C.D.,50033
,CLACRR,CLACTON RUN ROUND ROAD,50034
,CLCHEGJ,COLCHESTER EAST GATE JN,50036
,CLCH033,COLCHESTER SIGNAL CO1033,50037
,CLCH072,COLCHESTER SIGNAL CO1072,50038
,CLCH013,COLCHESTER SIGNAL CO4013,50040
CET,CLCHRTN,COLCHESTER TOWN,50041
,CLCH011,COLCHESTER SIGNAL CO1011,50042
,CLCHREC,COLCHESTER RECEPTION LINE,50043
,CLCHFL,COLCHESTER DGL (FL),50047
XLG,CLCHCSD,COLCHESTER C.S.D.,50048
COL,CLCHSTR,COLCHESTER,50049
,CLCHUCS,COLCHESTER BRIDGE ROAD,50049
,CLCH750,COLCHESTER SIGNAL 750,50050
XLP,CLCHSTY,COLCHESTER T.C.,50051
,CLCHGL,COLCHESTER GOODS LOOP,50052
,CLCHUSS,COLCHESTER SUDBURY DOCK,50053
,CLCHUP,COLCHESTER UP PASSNGR LOOP,50054
,CHITSHL,CHITTS HILL,50060
,MRKSTGB,MARKS TEY GBRF,50099
,MRKSFHH,MARKS TEY FLHH,50100
,MRKSTAR,MARKS TEY TARMAC,50102
,MRKSTUL,MARKS TEY UP LOOP,50103
,MRKS872,MARKS TEY SIGNAL L872,50104
MKT,MRKSTEY,MARKS TEY,50105
,MRKSSAT,MARKS TEY S & T SIDING,50106
CWC,CHPWKSC,CHAPPEL & WAKES COLNE,50107
,CHPWKSM,CHAPPEL & WAKES COLNE SMSM,50107
BUE,BURES,BURES,50109
SUY,SUDBURY,SUDBURY,50111
KEL,KELVEDN,KELVEDON,50113
BTR,BRAINTR,BRAINTREE,50204
BTP,BRAINFP,BRAINTREE FREEPORT,50205
CES,CRESING,CRESSING,50206
WNY,WNOTLEY,WHITE NOTLEY,50208
WTM,WITHAME,WITHAM,50211
,WITHMDL,WITHAM DOWN LOOP,50212
,WITHMUL,WITHAM UP LOOP,50213
,WITH763,WITHAM SIGNAL L763,50214
,WITHSDG,WITHAM UP TAMPER SDG,50215
HAP,HFLPEVL,HATFIELD PEVEREL,50217
,CHLMBHC,CHELMSFORD BRICK HOUSE XOV,50218
,CHLMBPK,CHELMSFORD BEAULIEU PARK,50218
,CHLMDGL,CHELMSFORD D.G.L,50219
,CHLM713,CHELMSFORD SIGNAL L713,50220
,CHLMABL,CHELMSFORD ARBOUR LANE,50220
,CHLMSFR,CHELMSFORD RECP.,50221
,CHLMGBF,CHELMSFORD RECP GBRF,50222
CHM,CHLMSFD,CHELMSFORD,50223
,CHURCHL,CHURCH LANE L XING,50225
INT,INGTSTN,INGATESTONE,50227
,INGTSTL,INGATESTONE LOOP,50228
,INGT679,INGATESTONE SIGNAL L679,50229
,SHEN517,SHENFIELD SIGNAL L517,50241
,MNTNJN,MOUNTNESSING JUNCTION,50251
,SEVCUSN,SOUTHEND VICTORIA USN,50297
,SEVCUSS,SOUTHEND VICTORIA USS,50298
,SEVCDSS,SOUTHEND VICTORIA DSS,50299
SMN,SMINSTR,SOUTHMINSTER,50301
,SMINCGB,SOUTHMINSTER C.E.G.B.,50303
BUU,BRNMONC,BURNHAM-ON-CROUCH,50304
ALN,ALTHORN,ALTHORNE,50305
NFA,FAMBDGE,NORTH FAMBRIDGE,50307
SOF,WDHAMFR,SOUTH WOODHAM FERRERS,50308
BLB,BTLSBDG,BATTLESBRIDGE,50309
,SEVCPOT,SOUTHEND VICTORIA POT,50310
SOV,STHVIC,SOUTHEND VICTORIA,50311
,SEVCDSN,SOUTHEND VICTORIA DSN,50312
,SHEN528,SHENFIELD SIGNAL L528,50313
PRL,PRITLWL,PRITTLEWELL,50314
SIA,STHEAIR,SOUTHEND AIRPORT,50315
RFD,ROCHFD,ROCHFORD,50316
,HOCK636,LIVERPOOL STREET SIG L636,50317
HOC,HOCKLEY,HOCKLEY,50318
,SHEN538,SHENFIELD SIGNAL L538,50319
,SHENUPS,SHENFIELD UP SIDING,50320
RLG,RAYLEGH,RAYLEIGH,50321
,WIKF515,WICKFORD SIGNAL 5150,50322
,WIKFUSD,WICKFORD UP SIDING,50323
WIC,WIKFORD,WICKFORD,50324
,WIKFDSD,WICKFORD DOWN SIDING,50325
,SHENFMS,SHENFIELD STABLING SIDINGS,50326
BIC,BILERCY,BILLERICAY,50327
SNF,SHENFLD,SHENFIELD,50328
,SHENLEJ,SHENFIELD LONDON END JN,50329
BRE,BRTWOOD,BRENTWOOD,50331
,BILE572,LIVERPOOL STREET SIG L572,50332
HRO,HRLDWOD,HAROLD WOOD,50333
GDP,GIDEAPK,GIDEA PARK,50334
,GIDEUGL,GIDEA PARK UP GOODS LOOP,50334
,GIDEPKR,GIDEA PARK RAILSTORE,50335
,GIDEPKS,GIDEA PARK C.H.S.,50336
,GIDEPKM,GIDEA PARK MIDDLE SIDING,50337
,SHENFUL,SHENFIELD UP LOOP,50338
,GIDEPKJ,GIDEA PARK JN,50339
,GIDECES,GIDEA PARK CNTR'Y END SPUR,50340
,GIDE125,GIDEA PARK SIGNAL L5125,50341
,SHEN140,SHENFIELD SIGNAL L5140,50342
EMP,EMRSPKH,EMERSON PARK,50391
XUP,UPMNSP6,UPMINSTER,50392
,ROMF438,ROMFORD SIGNAL 438,50397
,ROMF450,ROMFORD SIGNAL L450,50398
,ROMF440,ROMFORD SIGNAL 440,50399
,ROMFDGF,ROMFORD GROUND FRAME,50401
,ROMFDML,ROMFORD DOWN MAIN LOOP,50401
RMF,ROMFORD,ROMFORD,50401
,ROMFDRR,ROMFORD RECP,50402
,ROMFJN,ROMFORD JUNCTION,50402
,ROMFSDG,ROMFORD ENGINEERS SIDINGS,50403
,ROMF107,ROMFORD SIGNAL L5107,50404
,CHDWHLJ,CHADWELL HEATH JUNCTION,50405
,CHDWLHR,CHADWELL HEATH RECP,50405
CTH,CHDWLHT,CHADWELL HEATH,50405
,CHDWHTT,CHADWELL HEATH TURNBACK,50406
,GDMYSUR,GOODMAYES UP RECEPTION,50412
GMY,GODMAYS,GOODMAYES,50412
SVK,SVNKNGS,SEVEN KINGS,50417
,ILFELEJ,ILFORD LON END JUNCTION,50419
,ILFEL5D,ILFORD LEVEL 5 DEPOT,50420
XIF,ILFEMUD,ILFORD E.M.U.D.,50422
IFD,ILFORD,ILFORD,50423
,ILFE341,ILFORD SIG L341,50424
,ILFEFLR,ILFORD EMUD WHEEL LATHE RD,50425
,ILFE507,LIVERPOOL STREET SIG L5087,50426
,ILFE336,ILFORD SIGNAL L336,50427
ZRE,ILFERDB,REDBRIDGE LT STATION,50428
,ALDB337,ALDERSBROOK SIGNAL 337/354,50429
XAK,ALDBUCS,ALDERSBROOK UP C.H.S.,50430
,MANR350,MANOR PARK SIG 350/5083,50431
MNP,MANRPK,MANOR PARK,50431
,MANRPKJ,MANOR PARK JUNCTION,50431
,FRSTGTJ,FOREST GATE JN,50434
FOG,FRSTGT,FOREST GATE,50435
,MRYLEJN,MARYLAND EAST JUNCTION,50436
,MRYLWJN,MARYLAND WEST JUNCTION,50437
MYL,MRYLAND,MARYLAND,50438
,SHBRYLJ,SHOEBURYNESS DEPOT L.E.J.,50499
SRY,SHBRYNS,SHOEBURYNESS,51001
,SHBRYMD,SHOEBURYNESS M.O.D.,51002
,SHBRYCS,SHOEBURYNESS C.S.D.,51003
TPB,THOPBAY,THORPE BAY,51004
SOE,STHNDE,SOUTHEND EAST,51005
,SHBRGBF,SHOEBURYNESS MOD GBRF,51006
SOC,STHCENT,SOUTHEND CENTRAL,51007
WCF,WCLIFF,WESTCLIFF,51009
CHW,CHLKWEL,CHALKWELL,51011
LES,LHONSEA,LEIGH-ON-SEA,51013
BEF,BENFLET,BENFLEET,51014
,PITSEAD,PITSEA DOWN SIDING,51015
PSE,PITSEA,PITSEA,51016
,PITSEAU,PITSEA UP SIDING,51017
BSO,BASILDN,BASILDON,51019
,FOBBING,FOBBING CROSSING,51022
SFO,SLEHOPE,STANFORD-LE-HOPE,51023
,THMSMOB,CORYTON THAMES HAVEN TC,51102
,THMSHVN,THAMES HAVEN T.C.,51103
,CRYMRSH,CURRY MARSH SIDINGS,51107
,CURYMSH,CURRY MARSH,51108
,THMSLGB,LONDON GATEWAY GBRF,51120
,THMSHVJ,THAMES HAVEN JN,51121
,THMS882,THAMES HAVEN SIG UR882,51122
,THMS888,THAMES HAVEN SIG UR888,51123
,THMSL15,THAMES HAVEN SIGNAL LG15,51124
,THMSLGA,LONDON GATEWAY ARRIVAL,51125
,THMSDBS,LONDON GATEWAY DB CARGO,51126
,THMSFLI,LONDON GATEWAY FRGHTLINER,51127
,THMSL11,LONDON GATEWAY PORT LG11,51128
,THMSLGD,LONDON GATEWAY DEP LINE,51129
ETL,ETILBRY,EAST TILBURY,51130
,THMSL14,THAMES HAVEN SIG LG14,51131
,TLBYRSC,TILBURY RIVERSIDE (COLAS),51192
,TLBYADV,TILBURY I.R.F.T COLAS,51193
,TLBYPDR,TILBURY I.R.F.T (DRS),51194
,TLBYSTO,TILBURY I.R.F.T (DBC),51195
,TLBYPGB,TILBURY I.R.F.T (GBRF),51196
,TLBYPRT,TILBURY I.R.F.T (DBC),51197
,TLBYPFL,TILBURY I.R.F.T. (FLT),51198
,TLBYDES,TILBURY DOCKS E.S.,51199
,TLBYEWS,TILBURY CONTAINER TERM DBC,51200
,TLBYRCG,TILBURY R.C.T. GBRF,51201
,TLBYWJ,TILBURY WEST JN,51202
TIL,TLBYTWN,TILBURY TOWN,51203
,TLBYRCT,TILBURY R.C.T.,51205
,TLBYPGT,TILBURY PLA GRAIN TERMINAL,51206
,TLBYRR,TILBURY NTHFLEET RUN ROUND,51207
,TLBYNHT,TILBURY NFLEET HOPE TL DBC,51209
,TLBYTCS,TILBURY CONTAINER SRVS EWS,51210
,TLBYFHH,TILBURY LCT (FLT),51211
,TLBYTCG,TILBURY CONTAINER SRVS GB,51212
LAI,LAINDON,LAINDON,51301
WHR,WHORNDN,WEST HORNDON,51305
OCK,OCKENDN,OCKENDON,51309
GRY,GRAYS,GRAYS,51311
,SBRKRS,SEABROOK R.S.,51312
CFH,CHADHDD,CHAFFORD HUNDRED,51313
,WTHRCKH,WEST THURROCK HEADSHUNT,51320
,WTHRCKJ,WEST THURROCK JN,51321
,WTHRFHH,WEST THURROCK SIDINGS FHH,51322
,WTHRCKS,WEST THURROCK SIDINGS,51323
,WTHRGBR,WEST THURROCK SIDINGS GBRF,51324
,THMSMTX,THAMES MATEX,51331
,PURF176,PURFLEET LS SIGNAL UR1176,51337
,PRFLFYM,PURFLEET FOSTER YEOMAN,51338
,PRFLGBR,PURFLEET FY GBR,51339
,PRFLTTT,PURFLEET DEEP WTR WF (RFD),51340
,PRFLDWW,PURFLEET DEEP WTR WF (DBC),51341
,PRFLFLT,PURFLEET DEEP WTR WF (FLT),51342
,PRFLLAF,PURFLEET FOSTER YEOMAN FHH,51343
PFL,PURFLET,PURFLEET,51344
,PURFYD,PURFLEET LONG SIDING,51346
RNM,RNHAME,RAINHAM,51347
,PURWWLC,PURFLEET DEEP WATER WHARF,51348
XXU,WENGTNX,WENNINGTON CROSSOVERS,51349
,PURJUR,PURFLEET JURGENS LC,51350
UPM,UPMNSTR,UPMINSTER,51351
,UPMN852,UPMINSTER SIGNAL UR852,51352
ZUM,UPMNLT,UPMINSTER L.T.,51353
,UPMNSDG,UPMINSTER TAMPER SIDING,51354
ZDE,DGNHELT,DAGENHAM EAST L.T.,51359
,DAGNHME,DAGENHAM EAST,51361
,DGNH821,DAGENHAM FORD MC SIG UR821,51397
,DGNH826,DAGENHAM FORD MC SIG UR826,51398
,DGNHREC,DAGENHAM DOCK RECEPTION,51400
DDK,DGNHMDC,DAGENHAM DOCK,51402
,DGNHMFD,DAGENHAM DOWN YARD,51403
,DGNHMSC,DAGENHAM STORAGE COY SDG,51404
,DGNHARC,DAGENHAM DOCK A.R.C.,51406
,DGNHDRG,DAGENHAM DOCK RECP GBRF,51411
XXH,DAGNMJN,DAGENHAM JUNCTION,51412
,RPLLRRJ,RIPPLE LANE RENWICK RD JN,51505
,RPLLWYD,RIPPLE LANE WEST YARD,51506
,RPLL807,RIPPLE LANE SIGNAL 807,51507
,RPLL806,RIPPLE LANE SIGNAL 806,51508
,RPLL106,RIPPLE LANE SIG106,51509
,RPLL130,RIPPLE LANE SIGNAL 1130,51509
,RPLL623,RIPPLE LANE SIGNAL 623,51509
,RPLLESS,RIPPLE LANE EAST S.S.,51509
,RPLLLIP,RIPPLE LANE L.I.P.,51509
,RPLLWSS,RIPPLE LANE WEST S.S.,51509
,RPLLFW6,RIPPLE LANE SIGNAL FW6,51510
,RPLLRHD,RIPPLE LANE RAILHEAD,51511
,RPLLFLT,RIPPLE LANE F.L.T.,51512
,RPLLEUR,BARKING EUROHUB (DBC),51513
,RPLLFDR,RIPPLE LANE FLT (DRS),51514
,RPLLEP2,RIPPLE LANE YD BARKING EP2,51515
,RPLLWRD,RIPPLE LANE W.R.D.,51516
,RPLLSTO,RIPPLE LANE STORA,51517
,RPLLASW,BARKING FREIGHT DEPOT,51518
,RPLLHGP,RIPPLE LANE H GROUP SDGS,51519
,RPLLACT,RIPPLE LANE CTRL,51520
,RPLANEX,RIPPLE LANE EXCH SDGS,51521
,RPLLDBS,RIPPLE LANE FLT (DBC),51522
,RPLLGBF,RIPPLE LANE F.L.T. (GBRF),51523
,RPLANEG,RIPPLE LANE EXCH SDGS GBRF,51525
,RPLLWJN,RIPPLE LANE WEST JUNCTION,51526
,BARKUPJ,BARKING UPNEY JUNCTION,51529
,BARKNGJ,BARKING STATION JUNCTION,51530
,BARK103,BARKING SIGNAL 1103,51531
,BARK104,BARKING SIGNAL 1104,51531
,BARKG1P,BARKING NO 1 PLATFORM,51531
,BARKG7P,BARKING NO7 PLATFORM,51531
BKG,BARKING,BARKING,51531
ZKB,BARKGLT,BARKING L.T.,51532
,BARKRIV,BARKING RIVERSIDE,51533
BGV,BARKRIV,BARKING RIVERSIDE,51533
,BARKRRJ,RIPPLE ROAD JUNCTION,51535
,BARKRDN,BARKING RIVERSIDE DOWN JN,51536
,BARKRUP,BARKING RIVERSIDE UP JN,51537
WGR,WDGRNPK,WOODGRANGE PARK,51541
,WDGR920,WOODGRANGE PARK SIGNALL920,51542
WNP,WNSTDPK,WANSTEAD PARK,51545
LER,LYTNSHR,LEYTONSTONE HIGH ROAD,51547
LEM,LEYTNMR,LEYTON MIDLAND ROAD,51551
WMW,WLTHQRD,WALTHAMSTOW QUEEN'S ROAD,51553
BHO,BLCHSRD,BLACKHORSE ROAD,51555
,STOTS16,SOUTH TOTTENHAM SIG S16,51556
,STOTNAS,STH TOTTENHAM ADVANCE SIG,51557
STO,STOTNHM,SOUTH TOTTENHAM,51558
,STOTS19,SOUTH TOTTENHAM SIG S19,51559
,STOTS17,SOUTH TOTTENHAM SIG S17,51560
HRY,HRGYGL,HARRINGAY GREEN LANES,51561
,HRGYPJN,HARRINGAY PARK JN,51562
CRH,CROUCHH,CROUCH HILL,51563
XEM,EHMEMUD,EAST HAM E.M.U.D.,51602
,EHMDCEJ,EAST HAM DEP COUNTRY E. JN,51603
ZEH,EASTHAM,EAST HAM LT,51604
,HERTFDD,HERTFORD DEPOT,51702
HFE,HERTFDE,HERTFORD EAST,51702
WAR,WARE,WARE,51707
SMT,SMARGRT,ST MARGARETS (HERTS),51711
,BROXGBF,BROXBOURNE DN TAMP SDG GBF,51716
RYH,RYEHOUS,RYE HOUSE,51717
,BROXDSG,BROXBOURNE DOWN TAMPER SDG,51718
,BROXBNJ,BROXBOURNE JN,51720
,BROXBNR,BROXBOURNE RECP.,51721
BXB,BROXBRN,BROXBOURNE,51722
,BROXS53,BROXBOURNE SIG L5331,51723
,BROXS31,BROXBOURNE SIG L5315,51724
,BROXDPL,BROXBOURNE DOWN PASS LOOP,51725
,BROXS12,BROXBOURNE SIG L1226,51726
,BROXS14,BROXBOURNE SIG L1484,51726
CHN,CHESHNT,CHESHUNT,51815
WLC,WALHAMX,WALTHAM CROSS,51912
ENL,ENFLDLK,ENFIELD LOCK,51913
BMD,BRIMSDN,BRIMSDOWN,51914
PON,PNDRSEN,PONDERS END,51918
MRW,MWRWSTN,MERIDIAN WATER,51925
NUM,NMBRLPK,NORTHUMBERLAND PARK,51929
TOM,TTNHMHL,TOTTENHAM HALE,51931
,TTNH305,TOTTENHAM HALE SIG L5305,51932
LEB,LEABDGE,LEA BRIDGE,51933
,TTNH104,TOTTENHAM STH JN SIG L1004,51934
,TTNHMSJ,TOTTENHAM SOUTH JN,51935
,COPR105,COPPERMILL JN SIG L1005,51936
XMI,COPRMLJ,COPPERMILL JUNCTION,51937
,CLAPTNJ,CLAPTON JN,51938
,CHES139,CHESHUNT JN SIG L1395,51939
TEO,THBLDSG,THEOBALDS GROVE,51940
TUR,TURKYST,TURKEY STREET,51942
SBU,SBURY,SOUTHBURY,51944
,ENFL531,ENFIELD TOWN SIGNAL L5531,51945
ENF,ENFLDTN,ENFIELD TOWN,51946
