CRS,Tiploc,Description,Stannox
XFE,FLKSECS,FOLKSTONE EAST C.H.S.,0
,FLKSWSH,FOLKESTONE WARREN STAF HLT,0
ZFR,FNCHMET,FINCHLEY ROAD LT,0
,FNDRYTN,FEN DRAYTON,0
,FNPK378,FINSBURY PARK SIGS K378/9,0
,FOLEYPK,FOLEY PARK,0
XAS,FOWESHT,FOWEY SAFE HARBOUR HOTEL,0
,FRAT555,FRATTON SIGNAL 555,0
,FRATGSA,FRATTON GOLDSMITH AVENUE,0
,FRESVIL,FRESHFORD VILLAGE,0
,FRMKBUS,FOUR MARKS (WINDMILL),0
XAU,FROMPOM,FROME POST OFFICE,0
,FSHBBUS,FISHBOURNE (A259),0
,FULW415,FULWELL SIGNAL F415,0
,GAILES,GAILES L.C.,0
GWY,GALWAY,GALWAY,0
,GIDE116,GIDEA PARK SHUNT SIG L5116,0
,GIDE474,GIDEA PARK SIGNAL L474,0
GLR,GLANRFN,GLANRAFON,0
GGT,GLGAPT,GLASGOW AIRPORT,0
,GLGBGTE,BRIDGEGATE,0
,GLGCN6L,OUT OF USE,0
,GLGCN7L,OUT OF USE,0
,GLHM4,GILLINGHAM SIGNAL GM4,0
,GLSCOED,GLASCOED,0
XEA,GLSTHAL,GLASTONBURY TOWN HALL,0
,GNHTBWP,GREENHITHE BLUEWTR PK-BUS,0
,GNHTRI,GREENHITHE - RAILWAY INN,0
XBK,GNLNJN,GREEN LANE JN.,0
,GODSTGF,GODSTONE TIP GROUND FRAME,0
XOF,GOFER,GOSPORT FERRY,0
GGL,GORBALS,GORBALS,0
,GOSPMAN,GOSPEL OAK MANSFIELD ROAD,0
GOP,GOSTBUS,GOSPORT BUS,0
,GOURPIE,GOUROCK PIER,0
,GRAZLY,GRAZELEY,0
,GRNGVWR,GRANGEMOUTH TDG (VWR),0
GRO,GROMBDG,GROOMBRIDGE,0
,GRSNEST,GARRISON ESTATE,0
,GRSTNAC,GARSTON AUTO COMPOUND(EWS),0
,GRSTNDK,GARSTON DOCKS,0
,GRTN736,GRANGETOWN SIG G.736,0
,GRTN751,GRANGETOWN SIG G.751,0
,GRTSTNH,GREATSTONE HALT,0
,GRVEGRN,GROVE GREEN,0
,GRVSFRY,GRAVESEND TOWN PIER,0
,GRVSWSP,GRAVESEND WEST STREET PIER,0
,GSCG909,GASCOIGNE WOOD SIG 5909,0
,GTBG,GREAT BRIDGE,0
,GUILDLE,GUILDFORD LONDON END,0
,GUNDJGF,GRENDON UNDERWOOD JN G.F,0
,HAGTGC,HARROGATE GOLF GLUB,0
,HARWCHR,HARWICH RECP,0
,HATFBUS,HATFIELD BUS,0
HMK,HAWESMP,HAWES MARKET PLACE,0
HWK,HAWICK,HAWICK,0
XHV,HAWORTH,HAWORTH,0
,HEACHAM,HEACHAM BROADWAY,0
HBF,HEVEBUS,HEVER (BROCAS FARM),0
,HGHLY,HIGHLEY,0
ZHB,HIGBRNT,HIGH BARNET LUL,0
XHW,HIRWBUS,HIRWAUN BUS (CLOCK),0
,HITCHCJ,CAMBRIDGE JN,0
,HLBCENJ,H.L.B.CENTRAL JN,0
,HLDE,HAMPTON LOADE,0
,HLNDBUS,HILLINGDON BUS,0
ZHD,HLNDLT,HILLINGDON LT,0
,HLNSBPR,HELENSBURGH PIER,0
,HLSTCOI,HELSTON COINAGEHALL ST,0
XAM,HLSTCUL,CULDROSE (R.N.A.S.),0
,HLSTMUL,MULLION HOLIDAY PARK,0
XAV,HLSTWOO,HELSTON (WOOLWORTHS),0
ZHR,HLWYRLT,HOLLOWAY ROAD L.T.,0
,HNIARTH,HENIARTH,0
,HNSLGBF,HUNSLET DOWN SIDINGS GBRF,0
HUS,HNSTNTN,HUNSTANTON BUS STATION,0
HVH,HOEKVHL,HOEK VAN HOLLAND,0
HOD,HOLINWD,HOLLINWOOD (METRO),0
,HOLSCAT,HOLSWORTHY CATTLE MARKET,0
,HOLSCHR,HOLSWORTHY CHURCH,0
XEE,HOLSLIB,HOLSWORTHY LIBRARY,0
,HONIT3T,HONITON (THREE TUNS),0
,HONITNS,HONITON STATION,0
,HOOJ512,HOO JUNCTION SIGNAL NK512,0
,HOOJLHR,HOO JUNCTION-LWR HIGHAM RD,0
,HOOVICR,HOO JN. VICTA RAILFREIGHT,0
,HORB226,HORBURY MARCROFT SIG HM226,0
HGI,HORNBUS,HORNDEAN PRECINCT,0
,HOVE672,HOVE SIG. T672,0
,HRGYJN,HARRINGAY JUNCTION,0
,HRNCHUR,HORNCHURCH,0
,HRNS426,HORNSEY SIG K426,0
,HRNS432,HORNSEY SIG K432,0
,HRNSTPL,TURNPIKE LANE BUS,0
,HRNSWGB,WOOD GREEN LT STN BUS,0
,HRTH,HARTSHILL,0
XLB,HSFTLBD,LEEDS BRADFORD AIRPORT,0
HPK,HTPK,HEATON PARK,0
XBE,HTPKBUS,HEATON PARK BUS STOP,0
,HTRBUS2,HEATHROW TERMINAL 2 BUS,0
,HTRBUS3,HEATHROW TERMINAL 3 BUS,0
HWF,HTRBUS4,HEATHROW TERMINAL 4 BUS,0
HWX,HTRBUS5,HEATHROW TERMINAL 5 BUS,0
HTR,HTRWCBS,HEATHROW CENTRAL BUS STN,0
,HTRWT5S,HEATHROW TERMINAL 5 SPUR,0
HWA,HTRWTM2,HEATHROW TERMINAL 2 BUS,0
HWE,HTRWTM3,HEATHROW TERMINAL 3 BUS,0
ZHJ,HTRWUND,HEATHROW UNDERGROUND,0
HUU,HULLBS,HULL PARAGON INTERCHANGE,0
HSE,HURSLEY,HURSLEY (POST OFFICE),0
,HVTH,HAVERTHWAITE,0
,HWKSWTH,HAWKSWORTH,0
,HYTHEK,HYTHE (KENT),0
,HYTW,HYTHE WATERSIDE,0
,IDRID,IDRIDGEHAY,0
ZNP,ILFENBP,NEWBURY PARK,0
,IMNG213,IMMINGHAM SIGNAL 213,0
,IMNGDFL,IMMINGHAM TMD (FHH),0
,INCHNNS,INCHCOONANS L.C.,0
,INHTURE,INCHTURE L.C.,0
,IPSWCRD,IPSWICH CENTRE ROAD,0
XSO,IPSWSWD,SOUTHWOLD BUS,0
,IRTONRD,IRTON ROAD,0
,JFRSTNL,JEFFERSTONE LANE,0
,KARLSRH,KARLSRUHE,0
COX,KESWCOK,COCKERMOUTH (MAIN STREET),0
KWK,KESWICK,KESWICK (BUS STATION),0
,KEYNSCH,KEYNSHAM CHURCH,0
,KGMRVWR,CARLISLE KINGMOOR (VWR),0
KLL,KILARNY,KILLARNEY,0
ZKP,KILBPLT,KILBURN PARK LT,0
,KINSVSQ,KINGS SUTTON V. SQUARE,0
,KIRKWAL,KIRKWALL,0
KCG,KLCRGGN,KILCREGGAN,0
KLS,KLYNBUS,KINGS LYNN BUS STATION GN,0
,KLYNNDF,KINGS LYNN DALGETTY & FKLN,0
,KMSLDN,KEMSLEY DOWN,0
,KNDLVLX,KNODISHALL LEVEL CROSSING,0
XAW,KNGBQUY,KINGSBRIDGE QUAY,0
KEB,KNLYBUS,KENLEY (A22),0
,KNTN422,KNOTTINGLEY SIG FE6422,0
,KSTPTC,KIRKBY STEPHEN TOWN CENTRE,0
,KTNLJN,KIRTON LANE JN.,0
,KVTNXOV,KIVETON PARK CROSSOVER,0
KYK,KYLEAKN,KYLEAKIN,0
,LAND74,LLANDUDNO JN SIG.LJ74,0
,LANGTCR,LANGLEY TOWN CENTRE,0
,LARA318,PLYMOUTH SIGNAL P318,0
,LARNEHB,LARNE HARBOUR,0
XAZ,LAUNWST,LAUNCESTON WESTGATE STREET,0
LCB,LCHBSDL,LOCHBOISDALE,0
LCH,LCHMADY,LOCHMADDY,0
LDR,LDRY,LONDONDERRY,0
,LECHMSQ,LECHLADE MARKET SQUARE,0
,LEDB435,LEDBURN SIGNAL TK1435,0
,LEEDADV,LEEDS F.L.T. (ADVENZA),0
XLD,LEEDSFB,LEEDS FESTIVAL BUS,0
LFL,LEIGBUS,LEIGH (FLEUR-DE-LIS P.H.),0
,LEOMBUS,LEOMINSTER BUS STATION,0
,LERWICK,LERWICK,0
,LETEILA,LE TEIL (ARDECHE),0
,LETNCMD,LEYTON C.M.D.,0
,LEYTLUL,LEYTON LT STATION,0
,LEYTSTO,LEYTON SUPERMARKET,0
LHL,LGHM,LANGHOLM,0
XHC,LHRBHC,HATTON CROSS,0
,LHRBT1,HEATHROW TERMINAL 1 BUS,0
,LHRBT2,HEATHROW TERMINAL 2 BUS,0
,LHRBT3,HEATHROW TERMINAL 3 BUS,0
,LHRBT4,HEATHROW TERMINAL 4 BUS,0
,LHVNBUS,LITTLEHAVEN(LAMBS FARM RD),0
LJN,LIMERCJ,LIMERICK JCN,0
LRK,LIMERIC,LIMERICK,0
LNF,LINDFRD,LINDFORD (LIPHOOK ROAD),0
LSM,LISMORE,LISMORE,0
,LIVSTHS,LIVERPOOL ST L.H.S.,0
,LLFAIRC,LLANFAIR CAEREINION,0
XTL,LLHLABY,ABERTILLERY,0
,LLSTPHX,LLANSTEPHAN L.C.,0
,LLTRNMJ,LLANTARNAM JN,0
,LMKLSSB,LIME KILN SDG S.B.,0
,LNLT622,LINLITHGOW SIGNAL EL622,0
XLO,LOGHUNI,LOUGHBOROUGH UNIVERSITY,0
LOE,LONDEUR,LONDON EUROSTAR (CIV),0
ZBS,LONDNBS,LONDON BAKER STREET,0
,LOVR243,LOVERS WALK SIGNAL T1243,0
,LOVR246,LOVERS WALK SIGNAL T1246,0
,LOWF228,LOW FELL SIG T228,0
,LTLBYLP,LITTLEBURY LOOP,0
,LUDLCST,LUDLOW CORVE STREET,0
LUA,LUTNAIR,LONDON LUTON AIRPORT,0
